num,Title,TagsNum,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6,Tags7,Tags8,Tags9,Tags10
19,,,,,,,,,,,,,
0,자동 항해 결함으로 인한 충돌 사고,2,5,9,,,,,,,,,
0,여수 앞바다 충돌: 운행 부주의,3,1,2,3,,,,,,,,
0,부산 부두 선박 충돌: 음주 상태 조작 미숙,9,1,2,3,6,7,8,9,12,13,,
0,"포항 앞바다 선박 충돌, 기름 유출",3,3,6,12,,,,,,,,
0,날씨 변화: 조업 주의,4,4,5,6,7,,,,,,,
0,서해 페리호 참사,4,4,5,6,7,,,,,,,
0,기상 악화 속 무리한 조업,11,3,4,5,6,7,8,9,10,11,12,13
0,비바람에 암초 못보고 ‘꽝’,4,3,10,11,12,,,,,,,
0,울산 앞바다 선박 좌초,9,3,4,5,6,7,9,10,11,12,,
0,비바람 속 표류 어선 구조,3,10,11,12,,,,,,,,
0,표류 선박 인양 중 사망,4,10,11,12,13,,,,,,,
0,태풍급 강풍에 부산 선박 전복,6,4,5,6,10,11,12,,,,,
0,"강한 비바람, 상황 악화",6,4,5,6,10,11,12,,,,,
0,같은 방향으로 가던 두선박 ‘쾅’,6,3,4,5,6,8,9,,,,,
0,잊을만하면 터지는 해상 선박 충돌사고,3,1,2,3,,,,,,,,
0,해양사고 대부분 ‘안전 부주의’,10,2,3,5,6,8,9,10,11,12,13,
0,부산 앞바다 선박 충돌 사고,7,2,3,5,6,7,9,11,,,,
0,태풍 차바 - 남중국 선박 사고,4,3,6,7,8,,,,,,,
0,여수 앞바다 화물선과 어선 충돌,8,2,3,5,6,9,10,11,12,,,
